Region,Council,Care and Treatment Centre Sites
Dodoma,Kondoa,Kondoa District Hospital
Dodoma,Kondoa,Hamai Health Centre
Dodoma,Kondoa,Busi Health Centre
Dodoma,Kondoa,Kisese Health Centre
Dodoma,Kondoa,kwamtoro Health Centre
Dodoma,Kondoa,Bereko Dispensary
Dodoma,Kondoa,Haubi Dispensary
Dodoma,Kondoa,Makorongo Health Centre
Dodoma,Kondoa,Hogoro Dispensary
Dodoma,Mpwapwa,Benjamin Mkapa (Mpwapwa) District Hospital
Dodoma,Mpwapwa,Pwaga Dispensary
Dodoma,Mpwapwa,Chipogoro Dispensary
Dodoma,Mpwapwa,Kibakwe Health Centre
Dodoma,Mpwapwa,Rudi Rural Health Centre
Dodoma,Mpwapwa,Kikombo Health Centre
Dodoma,Mpwapwa,Dodoma Village of Hope
Dodoma,Mpwapwa,Mpwapwa CTC
Dodoma,Dodoma Rural,Mvumi Mission Hospital
Dodoma,Dodoma Rural,Bahi Health Centre
Dodoma,Dodoma Rural,Mtita Health Centre
Dodoma,Dodoma Rural,Mundemu Health Centre
Dodoma,Dodoma Rural,Chipanga Health Centre
Dodoma,Dodoma Rural,Handali Health Centre
Dodoma,Dodoma Rural,Haneti Health Centre
Dodoma,Dodoma Rural,Mpwayungu Health Centre
Dodoma,Dodoma Rural,Mirembe Hospital
Dodoma,Dodoma Urban,Dodoma Regional Hospital
Dodoma,Dodoma Urban,Matumbulu Dispensary
Dodoma,Dodoma Urban,Kikombo Health Centre
Dodoma,Dodoma Urban,Hombolo Rural Health Centre
Dodoma,Dodoma Urban,Makole Urban Health Centre
Dodoma,Dodoma Urban,UDOM(University of Dodoma) Health Centre
Dodoma,Dodoma Urban,ST.Gema Hospital
Dodoma,Dodoma Urban,Village of Hope Health Centre
Dodoma,Dodoma Urban,Isanga Prison Dispensary
Dodoma,Dodoma Urban,Makutopora JKT Dispensary
Dodoma,Dodoma Urban,Police Dispensary
Dodoma,Dodoma Urban,Ihumwa JWTZ Dispensary
Dodoma,Dodoma Urban,Udom Health Centre
Dodoma,Dodoma Urban,Chamwino Dispensary
Dodoma,Kongwa,Kongwa District Hospital
Dodoma,Kongwa,Hogoro Dispensary
Dodoma,Kongwa,Kibaigwa Dispensary
Dodoma,Kongwa,Mlali Rural Health Centre
Dodoma,Kongwa,Mkoka Rural Heath Centre
Dodoma,Bahi,Bahi Health Centre
Dodoma,Bahi,Mtitaa Health Centre
Dodoma,Bahi,Mundemu Health Centre
Dodoma,Bahi,Chipanga Health Centre
Dodoma,Chamwino,Chamwino Health Centre
Dodoma,Chamwino,Handali Health Centre
Dodoma,Chamwino,Haneti Health Centre
Dodoma,Chamwino,Mpwayungu Health Centre
Dodoma,Chamwino,Mpwayungu Dispensary
Dodoma,Chamwino,Mvumi Makulu Dispensary
Arusha,Monduli,Monduli District Hospital
Arusha,Monduli,Mto wa Mbu Health Centre
Arusha,Monduli,Lokisale Dispensary
Arusha,Monduli,TMA Hospital
Arusha,Monduli,Namanga Dispensary
Arusha,Monduli,Selele Dispensary
Arusha,Monduli,Makuyuni Dispensary
Arusha,Monduli,Lolkisare Dispensary
Arusha,Monduli,TMA Dispensary
Arusha,Monduli,Selela Dispensary
Arusha,Monduli,Kirurumo Health Centre Mto wa Mbu
Arusha,Arumeru,Meru District Hospital
Arusha,Arumeru,Mbuguni Health Centre
Arusha,Arumeru,Olturumeti Health Centre
Arusha,Arumeru,Ngarenanyuki Health Centre
Arusha,Arumeru,Makiba Dispensary
Arusha,Arumeru,Nkoanekoli Dispensary
Arusha,Arumeru,USA River Dispensary
Arusha,Arumeru,Ngarenanyuki Dispensary
Arusha,Arumeru,St. Elizabeth Hospital
Arusha,Arumeru,Dream (Holy Ghost) Health Centre
Arusha,Arumeru,Nkwaranga Lutheran Hospital
Arusha,Arumeru,Selian Hospital
Arusha,Arumeru,Usa river Health Centre
Arusha,Arusha CC,Mount Meru Hospital
Arusha,Arusha CC,Arusha Medical Centre
Arusha,Arusha CC,KAM Medical Centre
Arusha,Arusha CC,Kaloleni Health Centre
Arusha,Arusha CC,Kiranyi Dispensary
Arusha,Arusha CC,Ngoribobo Dispensary
Arusha,Arusha CC,Magereza Dispensary (Kisongo)
Arusha,Arusha CC,Arusha Police Dispensary
Arusha,Arusha CC,Arusha Lutheran Medical Centre(ALMC)
Arusha,Arusha CC,Arusha Military Hospital
Arusha,Arusha CC,Arusha Town Clinic
Arusha,Arusha CC,AICC Hospital
Arusha,Arusha CC,Ithin-Asheri Hospital
Arusha,Arusha CC,Ngarenaro Health Centre
Arusha,Arusha CC,Themi Health Centre
Arusha,Arusha CC,Levolosi Health Centre
Arusha,Karatu,Karatu Lutheran Hospital
Arusha,Karatu,Karatu Health Centre
Arusha,Karatu,Mang'ola Health Centre
Arusha,Karatu,Marie Stopes Dispensary
Arusha,Karatu,Rhotia Health Centre
Arusha,Karatu,Endabash Health Centre
Arusha,Karatu,Askofu Khando Health Centre
Arusha,Karatu,Oldeani Health Centre
Arusha,Ngorongoro,Ngorongoro District Hospital
Arusha,Ngorongoro,Loliondo Health Cenre
Arusha,Ngorongoro,Malambo Health Centre
Arusha,Ngorongoro,Ngorongoro Conservation Authority Dispensary
Arusha,Ngorongoro,Digodigo Dispensary
Arusha,Ngorongoro,Endulene Hospital
Arusha,Ngorongoro,Ngarasero Dispensary
Arusha,Ngorongoro,Wasso Hosp
Arusha,Ngorongoro,Malambo Health Centre
Arusha,Ngorongoro,Nkaa Dispensary
Arusha,Ngorongoro,NCAA Disp
Arusha,Longido,Engarenaibor Health Centre
Arusha,Longido,Namanga Dispensary
Arusha,Longido,Kamwaga Dispensary
Arusha,Longido,Longido Health Centre
Arusha,Longido,Kitumbeine Dispensary
Arusha,Longido,Kamwanga Dispensary
Arusha,Longido,Namanga Dispensary
Arusha,Arusha DC,Ngorbob Dispensary
Arusha,Arusha DC,Simanjiro
Kilimanjaro,Rombo,Huruma Designated District Hospital
Kilimanjaro,Rombo,Kirwa Mashati Health Centre
Kilimanjaro,Rombo,Keni Health Centre
Kilimanjaro,Rombo,Karume Health Centre
Kilimanjaro,Rombo,Tarakea Health Centre
Kilimanjaro,Rombo,Ngoyoni Hospital
Kilimanjaro,Moshi Rural,Marangu Hospital
Kilimanjaro,Moshi Rural,Kibosho Mission Hospital
Kilimanjaro,Moshi Rural,Kilema DD Hospital
Kilimanjaro,Moshi Rural,Umbwe Health Centre
Kilimanjaro,Moshi Rural,Kiruavunjo Health Centre
Kilimanjaro,Moshi Rural,Urunjali Dispensary
Kilimanjaro,Moshi Rural,Mwika Health Centre
Kilimanjaro,Moshi Rural,Kyaseni Health Centre
Kilimanjaro,Same,Same District Hospital
Kilimanjaro,Same,Ndugu Health Centre
Kilimanjaro,Same,Bwambo Health Centre
Kilimanjaro,Same,Shengena Health centre
Kilimanjaro,Same,Hedaru Health centre
Kilimanjaro,Same,Bwambo Dispensary
Kilimanjaro,Same,Gonja Lutheran Hospital
Kilimanjaro,Moshi Urban,Mawenzi Regional Hospital
Kilimanjaro,Moshi Urban,Majengo Health Centre
Kilimanjaro,Moshi Urban,Kiboroloni Dispensary
Kilimanjaro,Moshi Urban,Pasua Health Centre
Kilimanjaro,Moshi Urban,C.C.P. Health Centre
Kilimanjaro,Moshi Urban,Magereza Dispensary
Kilimanjaro,Moshi Urban,TPC Hospital
Kilimanjaro,Moshi Urban,KCMC Hospital
Kilimanjaro,Moshi Urban,SIIMA Health Centre
Kilimanjaro,Moshi Urban,Papri Dispensary
Kilimanjaro,Moshi Urban,CRCT Mission
Kilimanjaro,Hai,Kibong'oto Hospital
Kilimanjaro,Hai,Masama Dispensary
Kilimanjaro,Hai,Machame Hospital
Kilimanjaro,Hai,Hai District Hospital
Kilimanjaro,Hai,Masama Health Centre
Kilimanjaro,Hai,Nkwausira Health Centre
Kilimanjaro,Hai,Kisiki Health Centre
Kilimanjaro,Mwanga,Usangi District Hospital (Mwanga)
Kilimanjaro,Mwanga,Kisangara Health Centre
Kilimanjaro,Mwanga,Kigonigoni Health Centre
Kilimanjaro,Mwanga,Kagongo Health Centre
Kilimanjaro,Mwanga,Kifula Health Centre
Kilimanjaro,Mwanga,Ndanda Dispensary
Kilimanjaro,Mwanga,Mriti Dispensary
Kilimanjaro,Siha,Charlote Health Centre
Kilimanjaro,Siha,Ashengai Health Centre
Kilimanjaro,Siha,Ngarenairobi Dispensary
Kilimanjaro,Siha,Naibili Dispensary
Kilimanjaro,Siha,Levish Dispensary
Kilimanjaro,Siha,Siha District Hospital
Tanga,Lushoto,Lushoto District Hospital
Tanga,Lushoto,Mlalo Health Centre
Tanga,Lushoto,Mlola Health Centre
Tanga,Lushoto,Ngwashi Health Centre
Tanga,Lushoto,Mnazi Health Centre
Tanga,Lushoto,Malindi Health Centre
Tanga,Lushoto,Soni Health Centre
Tanga,Lushoto,Manolo Health Centre
Tanga,Lushoto,Kwai Health Centre
Tanga,Lushoto,Kangagai Health Centre
Tanga,Lushoto,Kwai Dispensary
Tanga,Lushoto,Sunga Dispensary
Tanga,Lushoto,Magamba Dispensary
Tanga,Lushoto,Mng'aro Dispensary
Tanga,Lushoto,St.Raphael Dispensary
Tanga,Lushoto,Bumbuli Hospital
Tanga,Lushoto,Sunga Health Centre
Tanga,Korogwe DC,Korogwe Magunga District Hospital
Tanga,Korogwe DC,Mombo Health Centre
Tanga,Korogwe DC,Hale (Sisi kwa Sisi)
Tanga,Korogwe DC,Bungu Health Centre
Tanga,Korogwe DC,Magoma Health Centre
Tanga,Korogwe DC,ST.Raphael Hospital
Tanga,Korogwe DC,Makuyuni Dispensary
Tanga,Korogwe DC,Majengo Dispensary
Tanga,Korogwe DC,Kwenangu Dispensary
Tanga,Korogwe DC,Kwemazandu Dispensary
Tanga,Korogwe DC,Mnyuzi Dispensary
Tanga,Korogwe DC,Magazini Dispensary
Tanga,Korogwe DC,Rosminiani Health Centre
Tanga,Korogwe DC,Mlalo Dispensary
Tanga,Korogwe DC,Mgombezi Dispensary
Tanga,Muheza,Muheza Designated District Hospital
Tanga,Muheza,Amani Bulwa Dispensary
Tanga,Muheza,Mkuzi Health Centre
Tanga,Muheza,Ubwari Dispensary
Tanga,Muheza,Monga Dispensary
Tanga,Muheza,Misozwe Dispensary
Tanga,Muheza,Magona Dispensary
Tanga,Muheza,Lunguza Dispensary
Tanga,Tanga,Bombo Hospital
Tanga,Tanga,Makorora Health Centre
Tanga,Tanga,Ngamiani Health Centre
Tanga,Tanga,Pongwe Health Centre
Tanga,Tanga,Duga Dispensary
Tanga,Tanga,Safi Medics Hospital
Tanga,Tanga,Tanga Central Health Centre
Tanga,Tanga,Kange JWTZ Health Centre
Tanga,Tanga,Mwakidila Dispensary
Tanga,Tanga,Mikanjuni Health Centre
Tanga,Tanga,Kisosora Dispensary
Tanga,Pangani,Pangani District Hospital
Tanga,Pangani,Mkalamo Dispensary
Tanga,Pangani,Mwera Health Centre
Tanga,Pangani,Kimang'a Dispensary
Tanga,Pangani,Kipumbwi Dispensary
Tanga,Pangani,Mkwaja Dispensary
Tanga,Pangani,Stahabu Dispensary
Tanga,Pangani,Langoni Dispensary
Tanga,Pangani,Tanga Centre Health Centre
Tanga,Handeni DC,Handeni District Hospital
Tanga,Handeni DC,Mkata Health Centre
Tanga,Handeni DC,Kabuku Health Centre
Tanga,Handeni DC,Kideleko Health Centre
Tanga,Handeni DC,Segera Dispensary
Tanga,Handeni DC,Kwamkono Hospital
Tanga,Handeni DC,Kwachaga Dispensary
Tanga,Handeni DC,Kwamsisi Dispensary
Tanga,Handeni DC,Manga Dispensary
Tanga,Kilindi,Songe Health Centre
Tanga,Kilindi,Kwediboma Health Centre
Tanga,Kilindi,Tunguli Health Centre
Tanga,Kilindi,Mkuyu Dispensary
Tanga,Kilindi,Negero Health Centre
Tanga,Kilindi,Mswaki Dispensary
Tanga,Kilindi,Kibirashi Dispensary
Tanga,Kilindi,Mafisa Dispensary
Tanga,Kilindi,Kwinji Dispensary
Tanga,Kilindi,Kilindi CDH Hospital
Tanga,Mkinga,Maramba Health Centre
Tanga,Mkinga,Mkinga Health Centre
Tanga,Mkinga,Mjesani Health Centre
Tanga,Mkinga,Duga maforoni Dispensary
Tanga,Mkinga,Mkinga Dispensary
Morogoro,Morogoro Urban,Morogoro Regional Hospital
Morogoro,Morogoro Urban,Kingolwira Health Centre
Morogoro,Morogoro Urban,Mafiga Health Centre
Morogoro,Morogoro Urban,Sabasaba Health Centre
Morogoro,Morogoro Urban,Mzumbe University Health Centre
Morogoro,Morogoro Urban,Mtego wa Simba Prison Dispensary
Morogoro,Morogoro Urban,Kinole Dispensary
Morogoro,Morogoro Urban,Pangawe TPDF Dispensary
Morogoro,Morogoro Urban,Kihonda Prison Dispensary
Morogoro,Morogoro Urban,Holy Cross Dispensary
Morogoro,Morogoro Urban,TTPL Tumbaku Dispensary
Morogoro,Morogoro Urban,Morogoro Prisons Dispensary
Morogoro,Morogoro Urban,Shalom Medical Centre
Morogoro,Morogoro Urban,Mazimbu Hospital
Morogoro,Morogoro Rural,Mazimbu-Sokoine University Health Centre
Morogoro,Morogoro Rural,Ngerengere Health Centre
Morogoro,Morogoro Rural,Tawa Health Centre
Morogoro,Morogoro Rural,Duthumi Health Centre
Morogoro,Morogoro Rural,Mkuyuni Dispensary
Morogoro,Morogoro Rural,Kizuka TPDF Dispensary
Morogoro,Morogoro Rural,Mtego wa Simba Prison Dispensary
Morogoro,Morogoro Rural,Kinole Dispensary
Morogoro,Morogoro Rural,Pangawe TPDF Dispensary
Morogoro,Morogoro Rural,Mtombozi Dispensary
Morogoro,Morogoro Rural,Fulwe Dispensary
Morogoro,Morogoro Rural,Kiroka Health Centre
Morogoro,Morogoro Rural,Kongwa Dispensary
Morogoro,Morogoro Rural,Mzinga Military Hospital
Morogoro,Kilosa,Kilosa District Hospital
Morogoro,Kilosa,Mikumi Health Centre
Morogoro,Kilosa,Gairo Health Centre
Morogoro,Kilosa,Kidodi Health Centre
Morogoro,Kilosa,Kimamba Health Centre
Morogoro,Kilosa,St. Kizito Health Centre
Morogoro,Kilosa,Berega Hospital
Morogoro,Kilosa,Dumila Dispensary
Morogoro,Kilosa,Ulaya Health Centre
Morogoro,Kilosa,Magubike Health Centre
Morogoro,Kilosa,Dakawa Centre Dispensary
Morogoro,Kilosa,Morogoro Police Dispensary
Morogoro,Kilosa,Kidete Health Centre
Morogoro,Kilosa,Magubike Dispensary
Morogoro,Kilosa,St. Joseph Health Centre
Morogoro,Ulanga,Mahenge District Hospital
Morogoro,Ulanga,Mwaya Health Centre
Morogoro,Ulanga,Lupiro Health Centre
Morogoro,Ulanga,Mtimbira Health Centre
Morogoro,Ulanga,Itete Dispensary
Morogoro,Ulanga,Malinyi Dispensary
Morogoro,Ulanga,Lugala Lutheran Hospital
